   Step          Time           Temp          PotEng         TotEng         Press          Volume        Atoms       c_tsurf     v_inserted_atoms
         0   0              783.63615     -20754.658     -20119.45      -1515.5424      237332.26           6272   995.19399      0            
       150   0.90643566     901.75762     -20851.603     -20120.647     -1330.3629      237332.26           6272   1011.2897      0            
       300   1.8204762      897.05537     -20847.826     -20120.681     -920.43424      237332.26           6272   990.43234      0            
       450   2.7533621      895.83549     -20846.985     -20120.829     -2524.4249      237332.26           6272   951.4514       0            
       600   3.6826377      908.80854     -20857.803     -20121.132     -1350.4822      237332.26           6272   924.76248      0            
       750   4.6268153      889.47659     -20842.128     -20121.127     -2504.8419      237332.26           6272   917.3467       0            
       900   5.5666234      905.76859     -20855.732     -20121.525     -2027.0772      237332.26           6272   920.36264      0            
      1050   6.5208731      903.22822     -20853.814     -20121.666     -1084.453       237332.26           6272   917.23801      0            
      1200   7.4718569      895.68769     -20847.891     -20121.855     -2658.647       237332.26           6272   906.06136      0            
      1350   8.4016479      905.84378     -20856.523     -20122.254     -1233.3671      237332.26           6272   895.69963      0            
      1376   8.5665804      1032.5495     -20859.381     -20022.272     -447.35659      237332.26           6273   904.33303      1            
      1500   8.63774        1027.4786     -20855.272     -20022.275     -212.29035      237332.26           6273   900.01311      1            
      1650   8.7238203      1043.0353     -20867.887     -20022.277     -1100.7402      237332.26           6273   910.99976      1            
      1800   8.8133787      1017.1037     -20846.845     -20022.259     -315.19611      237332.26           6273   1053.5701      1            
      1840   8.8623457      1101.389      -20815.264     -19922.203      964.76386      237332.26           6274   1180.7374      2            
      1950   8.9254712      1110.2792     -20822.471     -19922.202      332.05816      237332.26           6274   1068.7205      2            
      2100   9.0115515      1071.924      -20791.372     -19922.203      327.95382      237332.26           6274   984.89838      2            
      2250   9.1057171      1046.5996     -20770.853     -19922.219      421.0014       237332.26           6274   1242.5042      2            
      2400   9.512362       997.56541     -20731.05      -19922.175     -1319.7023      237332.26           6274   1099.9046      2            
      2550   9.9880309      999.6975      -20732.837     -19922.233     -2799.6169      237332.26           6274   1116.5809      2            
      2700   10.459565      999.39405     -20732.686     -19922.329     -3310.9166      237332.26           6274   1067.3826      2            
      2850   10.945237      1008.3472     -20740.042     -19922.424     -1388.1912      237332.26           6274   1077.4797      2            
      2977   11.357183      1142.961      -20749.435     -19822.519      910.42669      237332.26           6275   1090.8834      3            
      3000   11.370382      1153.0628     -20757.628     -19822.52       796.5231       237332.26           6275   1104.731       3            
      3150   11.456462      1145.0864     -20751.162     -19822.522      1303.3151      237332.26           6275   1083.4179      3            
      3300   11.542542      1161.7972     -20764.717     -19822.525      944.88618      237332.26           6275   1091.1646      3            
      3450   11.636457      1109.9188     -20722.731     -19822.611      1138.7438      237332.26           6275   1394.8019      3            
      3600   11.942156      1068.2196     -20690.454     -19824.151      134.22918      237332.26           6274   1164.3585      3            
      3750   12.29943       1052.2796     -20679.928     -19826.552     -1071.7772      237332.26           6273   1161.2297      3            
      3900   12.656705      1037.4786     -20671.085     -19829.713     -3095.7052      237332.26           6272   1145.9367      3            
      4050   13.013979      1029.7178     -20664.818     -19829.739     -3298.2086      237332.26           6272   1128.2623      3            
      4200   13.371253      1062.5874     -20691.57      -19829.835     -2073.3548      237332.26           6272   1134.6937      3            
      4350   13.728528      1047.8194     -20679.62      -19829.861     -523.16244      237332.26           6272   1088.8765      3            
      4500   14.085802      1063.475      -20692.37      -19829.915      945.9301       237332.26           6272   1127.685       3            
      4650   14.443077      1071.293      -20698.785     -19829.99      -698.75675      237332.26           6272   1132.2715      3            
      4800   15.160551      1046.1458     -20684.058     -19835.656     -3070.9208      237332.26           6271   1111.3401      3            
      4950   16.047875      1064.8813     -20699.709     -19836.113     -1109.3107      237332.26           6271   1095.1271      3            
      4981   16.233866      1173.3709     -20686.943     -19735.82       157.78705      237332.26           6272   1099.4106      4            
      5100   16.302157      1184.6532     -20696.092     -19735.824      672.10916      237332.26           6272   1095.1079      4            
      5250   16.388237      1202.0585     -20710.204     -19735.827      704.37776      237332.26           6272   1111.5535      4            
      5400   16.484181      1150.3436     -20668.289     -19735.831      1388.0162      237332.26           6272   1337.097       4            
      5550   17.1028        1112.8473     -20638.059     -19735.996     -476.41876      237332.26           6272   1174.0296      4            
      5700   17.924696      1094.8476     -20623.642     -19736.169     -4159.0683      237332.26           6272   1146.0288      4            
      5850   18.779172      1101.9307     -20629.748     -19736.533      104.00888      237332.26           6272   1134.6919      4            
      5885   18.98154       1233.588      -20636.699     -19636.605      2120.7366      237332.26           6273   1140.8121      5            
      6000   19.047535      1265.7058     -20662.743     -19636.61       1611.0416      237332.26           6273   1170.7318      5            
      6150   19.133615      1250.2336     -20650.201     -19636.612      2237.2398      237332.26           6273   1145.9199      5            
