   Step          Time           Temp          PotEng         TotEng         Press          Volume        Atoms       c_tsurf     v_inserted_atoms     
         0   0              783.87354     -20774.061     -20137.749     -1564.7679      237332.26           6281   995.52503      0            
       100   0.61209043     880.2613      -20853.209     -20138.653     -2609.1702      237332.26           6281   1002.9984      0            
       100   0.61209043     2596.2189     -20853.209     -18745.718      3659.756       237332.26           6281   1002.9984      0            
       150   0.63504311     2613.5748     -20867.3       -18745.721      3675.9577      237332.26           6281   1033.6485      0            
       300   0.70332162     2626.5489     -20877.833     -18745.722      4511.1848      237332.26           6281   1032.2027      0            
       450   0.7714787      2343.0548     -20647.661     -18745.678      8261.1805      237332.26           6281   3023.7878      0            
       600   0.90476197     1982.1825     -20354.52      -18745.476      15181.975      237332.26           6281   2855.3316      0            
       750   1.1411946      1671.5133     -20102.603     -18745.746      17591.327      237332.26           6281   2152.3833      0            
       900   1.3779448      1626.7932     -20067.642     -18747.087      12050.464      237332.26           6281   1994.3165      0            
      1050   1.614695       1596.797      -20043.387     -18747.181      4313.2515      237332.26           6281   2143.9147      0            
      1200   1.8514452      1481.3728     -19949.818     -18747.309     -7929.7452      237332.26           6281   2127.9485      0            
      1350   2.0881954      1323.1108     -19821.539     -18747.499     -15389.156      237332.26           6281   1818.9829      0            
      1500   2.3249456      1269.7389     -19778.491     -18747.776     -17502.464      237332.26           6281   1698.8516      0            
      1650   2.5621677      1262.9272     -19786.513     -18761.327     -15426.852      237332.26           6280   1645.5595      0            
      1800   2.917859       1355.9182     -19875.683     -18775.011     -8429.6193      237332.26           6279   1641.2152      0            
      1950   3.3334428      1476.0814     -19973.606     -18775.391      4417.4859      237332.26           6279   1741.1981      0            
      2100   3.7441322      1489.9672     -19995.765     -18786.279      12124.21       237332.26           6275   1651.2318      0            
      2250   4.1976014      1459.5944     -19972.045     -18787.214      5316.5978      237332.26           6275   1583.4905      0            
      2400   4.6799547      1343.3643     -19875.895     -18785.414     -5312.7732      237332.26           6271   1513.3319      0            
      2550   5.2830916      1253.3091     -19806.056     -18788.678     -10471.324      237332.26           6267   1380.8778      0            
      2700   6.0442521      1350.1103     -19885.685     -18789.728     -566.24265      237332.26           6267   1439.0781      0            
      2850   6.8041852      1381.1276     -19911.894     -18790.759      5774.9699      237332.26           6267   1403.0309      0            
      3000   7.5722567      1321.267      -19863.536     -18790.992     -4158.9689      237332.26           6267   1383.9012      0            
      3150   8.3511555      1241.7374     -19799.118     -18791.134     -6444.2972      237332.26           6267   1299.7195      0            
