   Step          Time           Temp          PotEng         TotEng         Press          Volume        Atoms       c_tsurf     v_inserted_atoms
         0   0              783.63615     -20754.658     -20119.45      -1515.5424      237332.26           6272   995.19399      0            
       150   0.90643566     901.75762     -20851.603     -20120.647     -1330.3629      237332.26           6272   1011.2897      0            
       300   1.8204762      897.05537     -20847.826     -20120.681     -920.43424      237332.26           6272   990.43234      0            
       450   2.7533621      895.83549     -20846.985     -20120.829     -2524.4249      237332.26           6272   951.4514       0            
       600   3.6826377      908.80854     -20857.803     -20121.132     -1350.4822      237332.26           6272   924.76248      0            
       750   4.6268153      889.47659     -20842.128     -20121.127     -2504.8419      237332.26           6272   917.3467       0            
       900   5.5666234      905.76859     -20855.732     -20121.525     -2027.0772      237332.26           6272   920.36264      0            
      1050   6.5208731      903.22822     -20853.814     -20121.666     -1084.453       237332.26           6272   917.23801      0            
      1200   7.4718569      895.68769     -20847.891     -20121.855     -2658.647       237332.26           6272   906.06136      0            
      1350   8.4016479      905.84378     -20856.523     -20122.254     -1233.3671      237332.26           6272   895.69963      0            
      1376   8.5665804      2139.6029     -20861.817     -19124.71       3591.3989      237332.26           6282   904.33303      10           
      1500   8.6358288      2136.0916     -20858.969     -19124.713      3844.9494      237332.26           6282   900.66978      10           
      1650   8.7169987      2147.5419     -20868.267     -19124.715      3000.3807      237332.26           6282   902.97286      10           
      1800   8.8016496      1988.8534     -20739.626     -19124.91       5773.0892      237332.26           6282   2637.1152      10           
      1950   8.9538124      1618.501      -20438.709     -19124.675      10930.186      237332.26           6282   2483.808       10           
      2100   9.1946462      1416.9527     -20275.274     -19124.874      10579.01       237332.26           6282   1847.0702      10           
      2250   9.435582       1421.5709     -20279.8       -19125.651      5370.9994      237332.26           6282   1735.3757      10           
      2400   9.6765178      1396.438      -20259.467     -19125.723      2100.5155      237332.26           6282   1853.2424      10           
      2550   9.9174536      1329.9002     -20205.565     -19125.841     -6854.9454      237332.26           6282   1826.6241      10           
      2700   10.227464      1210.2908     -20121.326     -19138.712     -12288.438      237332.26           6281   1523.2222      10           
      2850   10.583524      1237.9123     -20148.991     -19143.951     -9908.1521      237332.26           6280   1515.6136      10           
      3000   10.943431      1321.8515     -20223.327     -19150.138     -4004.2582      237332.26           6279   1601.1957      10           
      3150   11.476698      1359.688      -20265.981     -19162.073      8894.2631      237332.26           6275   1574.6836      10           
      3300   12.203449      1329.9532     -20242.869     -19163.103      1609.7701      237332.26           6275   1489.9749      10           
      3450   12.957584      1208.237      -20144.423     -19163.476     -10437.08       237332.26           6273   1320.7738      10           
      3600   13.744272      1301.1392     -20221.135     -19164.763      133.89071      237332.26           6273   1373.103       10           
      3750   14.444406      1358.524      -20268.991     -19166.028      6971.1349      237332.26           6273   1357.0549      10           
      3900   15.176513      1259.4186     -20182.679     -19160.178     -4127.1376      237332.26           6269   1339.3615      10           
      4050   15.997746      1235.4839     -20164.523     -19161.455     -5757.3384      237332.26           6268   1275.8588      10           
      4200   16.804135      1322.3734     -20235.908     -19162.295      4630.6511      237332.26           6268   1371.2672      10           
      4350   17.578867      1289.8424     -20210.096     -19162.895      450.23186      237332.26           6268   1313.8632      10           
      4500   18.359095      1227.461      -20159.463     -19162.908     -6721.6058      237332.26           6268   1248.0263      10           
      4650   19.162193      1296.5626     -20216.503     -19163.846     -336.63334      237332.26           6268   1272.991       10           
      4800   19.934662      1314.21       -20231.645     -19164.661      2760.898       237332.26           6268   1288.9281      10           
      4950   20.725414      1260.3321     -20187.798     -19164.556     -3847.4042      237332.26           6268   1310.0882      10           
      5100   21.534429      1265.8228     -20192.589     -19164.889     -3194.5266      237332.26           6268   1272.3039      10           
      5250   22.301015      1325.7556     -20241.879     -19165.521      2181.9037      237332.26           6268   1359.4669      10           
      5400   23.07928       1284.8624     -20208.96      -19165.803     -140.82223      237332.26           6268   1298.191       10           
      5550   23.886022      1255.8948     -20185.608     -19165.968     -4065.5721      237332.26           6268   1298.3262      10           
      5700   24.662205      1298.8252     -20220.921     -19166.427      200.71101      237332.26           6268   1303.2121      10           
      5850   25.42602       1324.9701     -20242.631     -19166.91       1254.0613      237332.26           6268   1340.7752      10           
      6000   26.20283       1277.9298     -20204.429     -19166.9       -2684.1182      237332.26           6268   1297.3151      10           
      6150   26.989688      1317.5095     -20237.167     -19167.503     -1992.9073      237332.26           6268   1337.2565      10           
      6300   27.780965      1310.2776     -20231.39      -19167.598      1285.9494      237332.26           6268   1288.4764      10           
      6450   28.547684      1303.9505     -20226.501     -19167.845     -2001.2692      237332.26           6268   1327.8646      10           
      6600   29.340805      1284.6789     -20211.137     -19168.128     -1814.2676      237332.26           6268   1275.7742      10           
      6750   30.131701      1317.4519     -20238.129     -19168.512      539.91543      237332.26           6268   1319.8536      10           
